frame_class	vaf	tpm	frame_length
Hidden Frame	0.3528333333333333	0.950406821640003	5
Gene Fusion	0.3571666666666666	1.900813643280006	19
Hidden Frame	0.1139999999999999	14.61862863800912	10
Hidden Frame	0.2405	7.13295016653528	16
Hidden Frame	0.1475	0.9210127962284566	23
Hidden Frame	0.1475	0.2253541948218563	97
Hidden Frame	0.1139999999999999	6.809615887008269	73
Gene Fusion	0.3571666666666666	2.096773812690316	14
Gene Fusion	0.0875	0.0489900423525774	15
Hidden Frame	0.2405	0.0097980084705154	9
Hidden Frame	0.2405	0.0097980084705154	40
Hidden Frame	0.461	0.89161877081691	7
Gene Fusion	0.3375	0.989598855522065	6
Hidden Frame	0.103	0.8230327115233016	3
Gene Fusion	0.0885	0.3135362710564958	4
Gene Fusion	0.2038333333333333	2.3130329036778337	57
Hidden Frame	0.3365	16.170578246247715	3
Hidden Frame	0.5465	0.0103260397485617	63
Hidden Frame	0.2684999999999999	0.7847790208906936	59
Gene Fusion	0.22	17.926005003503214	39
Hidden Frame	0.4265	1.363037246810152	4
Gene Fusion	0.1295	12.277661261039931	10
Hidden Frame	0.1513333333333333	1.2907549685702198	30
Gene Fusion	0.23475	0.6298884246622672	8
Hidden Frame	0.1298333333333333	0.980973776113367	35
Gene Fusion	0.1845	0.041304158994247	6
Hidden Frame	0.2455	10.739081338504228	14
Hidden Frame	0.2339999999999999	5.431496907743485	5
Hidden Frame	0.1513333333333333	1.4146674455529609	71
Hidden Frame	0.1513333333333333	5.431496907743485	72
Gene Fusion	0.3135	0.71249674265076135	31
Hidden Frame	0.2035	0.0103260397485617	33
Hidden Frame	0.20225	0.0929343577370558	25
Hidden Frame	0.3339999999999999	3.4075931170253804	27
Gene Fusion	0.1312	1.7037965585126902	4
Gene Fusion	0.120375	1.9103173534839253	17
Hidden Frame	0.2685	0.6918446631536378	31
Hidden Frame	0.103	1.8483611149925547	42
Hidden Frame	0.147	0.0103260397485617	6
Hidden Frame	0.2045	1.2494508095759729	43
Gene Fusion	0.2975	4.1510679789218266	13
Gene Fusion	0.225	5.607039583469034	4
Gene Fusion	0.254	0.0103260397485617	31
Hidden Frame	0.102	0.2065207949712351	12
Hidden Frame	0.2515	1.579884081529949	2
Hidden Frame	0.138	0.0103260397485617	49
Gene Fusion	0.0735	0.9603216966162436	7
Hidden Frame	0.1513333333333333	2.2717287446835868	109
Hidden Frame	0.3425	0.6608665439079525	13
Hidden Frame	0.263	1.4766236840443314	7
Gene Fusion	0.1669999999999999	4.202698177664636	31
Gene Fusion	0.3535	1.3527112070615903	2
Hidden Frame	0.3199999999999999	125.00703719608865	38
Hidden Frame	0.11	1.9309694329810487	6
Hidden Frame	0.1675	4.419545012384432	2
Gene Fusion	0.1669999999999999	1.104886253096108	3
Gene Fusion	0.192	1.3733632865587138	29
Gene Fusion	0.1535	2.2407506254379017	5
Gene Fusion	0.225	1.5592320020328254	5
Hidden Frame	0.3175	0.8777133786277495	42
Gene Fusion	0.254	5.338562550006429	17
Hidden Frame	0.2585	1.063582094101861	4
Hidden Frame	0.1475	0.4956499079309644	31
Hidden Frame	0.5525	1.4972757635414549	17
Gene Fusion	0.550625	1.455971604547208	11
Gene Fusion	0.53825	4.305958575150253	25
Gene Fusion	0.1526666666666667	1.404341405804399	2
Hidden Frame	0.2515	1.9929256714724195	29
Hidden Frame	0.3095	0.4646717886852791	24
Hidden Frame	0.277	1.187494571084602	23
Hidden Frame	0.277	1.621188240524196	27
Gene Fusion	0.1939999999999999	0.0206520794971235	2
Hidden Frame	0.352	0.9706477363648052	21
Hidden Frame	0.499	0.041304158994247	32
Gene Fusion	0.196	1.8483611149925547	30
Gene Fusion	0.196	3.4179191567739418	29
Gene Fusion	0.196	1.9206433932324871	30
Hidden Frame	0.431	1.0842341735989849	11
Hidden Frame	0.4285	0.0103260397485617	11
Hidden Frame	0.11	0.0103260397485617	11
Hidden Frame	0.3425	1.9825996317238577	4
Hidden Frame	0.3365	5.101063635789509	24
Hidden Frame	0.4705	1.0016258556104904	43
Gene Fusion	0.1535	2.788030732111675	57
Hidden Frame	0.102	0.0516301987428087	19
Hidden Frame	0.20225	2.2407506254379017	20
Hidden Frame	0.3365	7.001054949524872	13
Gene Fusion	0.157	0.640214464410829	11
Gene Fusion	0.24375	0.299455152708291	58
Gene Fusion	0.2038333333333333	1.0222779351076141	1
Gene Fusion	0.254	4.481501250875803	34
Hidden Frame	0.249	2.9738994475857865	39
Gene Fusion	0.196	2.261402704935025	10
Hidden Frame	0.192	1.1771685313360405	18
Hidden Frame	0.1895	1.6108622007756344	27
Gene Fusion	0.081	1.404341405804399	35
Gene Fusion	0.3265	6.0510592926571904	6
Gene Fusion	0.2071666666666667	1.0945602133475465	1
Gene Fusion	0.216	0.0103260397485617	17
Gene Fusion	0.254	1.745100717506937	25
Hidden Frame	0.228	0.7951050606392553	21
Gene Fusion	0.0525	1.9309694329810487	20
Gene Fusion	0.177	1.6418403200213196	19
Gene Fusion	0.23475	2.529879738397631	6
Hidden Frame	0.16	1.1565164518389168	15
Gene Fusion	0.103	1.4353195250500843	9
Gene Fusion	0.1405	0.0206520794971235	5
Gene Fusion	0.2935	46.6323955045049	36
Gene Fusion	0.23475	1.3836893263072756	17
