sample	junction	class	frame_class	variants	complex_class	frame_count
L2	chr22_29065698_+:chr1_49432325_+	gene_intergenic	_			NA
L2	chr1_52413711_+:chr2_230632367_-	gene_gene	_			NA
L2	chr1_52413713_-:chr2_230631992_+	gene_gene	_			NA
L2	chr1_113991758_+:chr1_113991815_-	intragenic	_			NA
L2	chr1_189244827_+:chr1_189258226_-	intergenic	_			NA
L2	chr9_16617547_+:chr1_191163472_+	gene_intergenic	_			NA
L2	chr1_246384947_-:chr1_246651009_+	intragenic	_			NA
L2	chr2_3154091_-:chr2_3290047_+	gene_intergenic	simple_fusion_gene	chr2_3154091_-:chr2_3290047_+	simple	3
L2	chr2_14700880_-:chr2_14700917_+	intergenic	_			NA
L2	chr6_13191109_+:chr2_59990596_+	gene_gene	_			NA
L2	chr6_13191171_-:chr2_59990993_-	gene_gene	_			NA
L2	chr2_98828476_-:chr2_98830025_+	intragenic	_			NA
L2	chr2_141625930_-:chr2_142246071_+	intragenic	_			NA
L2	chr2_141711332_-:chr2_142268258_+	intragenic	_			NA
L2	chr2_155770051_+:chr2_155801955_-	intergenic	_			NA
L2	chr2_164550664_-:chr2_164553495_+	intragenic	_			NA
L2	chr2_173578501_+:chr2_173599961_+	intragenic	_			NA
L2	chr2_173674509_-:chr2_173693587_-	intragenic	complex_hidden_frame	chr2_173674509_-:chr2_173693587_-^chr2_173674509_-:chr2_173693587_-^chr2_173674509_-:chr2_173693587_-	complex	1
L2	chr2_177470312_-:chr2_177494001_+	intergenic	_			NA
L2	chr2_177534289_-:chr2_180008502_+	gene_intergenic	_			NA
L2	chr2_197393046_-:chr2_197442353_+	intragenic	_			NA
L2	chr2_238499444_-:chr2_238501153_+	intragenic	_			NA
L2	chr3_55749687_-:chr3_55804604_+	intragenic	_			NA
L2	chr3_59723781_-:chr3_59936814_+	gene_intergenic	_			NA
L2	chr3_120928546_-:chr3_120930348_+	intragenic	_			NA
L2	chr3_175480816_-:chr3_175543645_+	gene_intergenic	_			NA
L2	chr3_175718442_-:chr3_182636052_+	intergenic	_			NA
L2	chr3_176143033_+:chr3_176143103_+	intergenic	_			NA
L2	chr3_180565195_-:chr3_180569326_+	intragenic	_			NA
L2	chr6_123849318_-:chr3_192748522_-	intergenic	_			NA
L2	chr6_123848415_+:chr3_192748526_+	gene_intergenic	_			NA
L2	chr4_659738_-:chr4_124706129_+	gene_gene	_			NA
L2	chr4_10263385_-:chr4_10263897_+	intergenic	_			NA
L2	chr4_91434413_-:chr4_91615951_+	intragenic	_			NA
L2	chr4_92220674_-:chr4_92479860_+	intragenic	_			NA
L2	chr4_92502279_+:chr4_92511115_-	intragenic	_			NA
L2	chr4_126954375_-:chr4_126954927_+	intergenic	_			NA
L2	chr4_131940999_-:chr4_131942604_-	intergenic	_			NA
L2	chr4_135075848_-:chr4_135225657_+	gene_intergenic	_			NA
L2	chr4_157118388_-:chr4_157118429_+	intergenic	_			NA
L2	chr4_180998820_-:chr4_181004639_+	intergenic	_			NA
L2	chr5_111227_-:chr5_111622_+	intragenic	_			NA
L2	chr5_12794653_-:chr5_12806599_+	gene_intergenic	_			NA
L2	chr5_12961185_-:chr6_13191247_-	gene_gene	_			NA
L2	chr5_16379648_-:chr5_16414055_+	intragenic	_			NA
L2	chr5_35860296_-:chr5_35862194_+	intragenic	_			NA
L2	chr5_59308471_-:chr5_59409627_+	intragenic	_			NA
L2	chr5_143193241_+:chr5_143197269_-	intragenic	_			NA
L2	chr5_170026951_-:chr5_170026994_+	intragenic	_			NA
L2	chr6_13191235_+:chr6_58681591_+	intergenic	_			NA
L2	chr6_13191437_-:chr6_58681587_-	gene_intergenic	_			NA
L2	chr6_13191442_-:chr12_63740221_-	gene_gene	_			NA
L2	chr6_13191446_-:chr7_54031634_+	gene_intergenic	_			NA
L2	chr6_88829542_+:chr6_99537816_+	intergenic	_			NA
L2	chr6_109268797_-:chr6_109268831_+	intragenic	_			NA
L2	chr7_87390658_-:chr7_87390693_+	intragenic	_			NA
L2	chr7_118540211_-:chr7_118542270_+	intergenic	_			NA
L2	chr8_3147187_-:chr8_3289695_+	intragenic	_			NA
L2	chr8_3322706_-:chr8_3468153_+	intragenic	_			NA
L2	chr8_3360738_-:chr8_3708955_+	intragenic	_			NA
L2	chr8_3561920_-:chr8_3565454_+	intragenic	_			NA
L2	chr8_3892112_-:chr8_4038317_+	intragenic	_			NA
L2	chr8_28007955_-:chr8_28008009_+	intragenic	_			NA
L2	chr8_30621667_+:chr8_30622376_+	intragenic	_			NA
L2	chr8_31032954_-:chr8_31033185_-	intragenic	_			NA
L2	chr8_51860755_-:chr8_51860790_+	intergenic	_			NA
L2	chr8_60985519_+:chr8_62492964_-	intergenic	_			NA
L2	chr9_21967972_-:chr9_21971611_+	intragenic	simple_hidden_frame	chr9_21967972_-:chr9_21971611_+	simple	3
L2	chr9_34269689_-:chr9_34269966_-	intragenic	_			NA
L2	chr9_34269789_+:chr9_34272415_-	intragenic	_			NA
L2	chr10_89292758_-:chr10_89294975_-	intragenic	complex_fusion_gene	chr10_89292758_-:chr10_89294975_-^chr10_89292801_+:chr10_89323549_+^chr10_89334126_-:chr10_90588420_+	complex	2
L2	chr10_89292801_+:chr10_89323549_+	intergenic	complex_fusion_gene	chr10_89292758_-:chr10_89294975_-^chr10_89292801_+:chr10_89323549_+^chr10_89334126_-:chr10_90588420_+	complex	2
